order,stage,active,show,name,insert,delete,where,remarks,meer remarks
89,1,,,rel_mod vw,?x :obj ?y,,"?x :rel_obj2 ?y. ?y :prop ""vnotzeg""","overbodig, zie meewerkend voorwerp",
90,1,,,rel_mod  ,?x :obj ?y,,"?x :rel_mod ?y. ?y :prop ""vnotzeg"".
FILTER NOT EXISTS 
{?x :rel_obj1 ?y. ?x :rel_obj2 ?y. ?z :obj ?y}",,
91,1, ,,object rel_predc,?x :obj ?y,,"?x :rel_predc ?y. ?y :prop ""vnotzeg""
FILTER NOT EXISTS {?z  :obj ?y}","filter toegevoegd om te voorkomen dat in 642791 positief
(uit positief tegenover staan) zelf een object zou worden.",
92,1,1,,rel_svp,?x :obj ?y,,"?x :rel_svp ?y.
?y :prop ""vnotzeg""; :prop ""lowestv"".
?su :su ?y
FILTER NOT EXISTS {?z :obj ?y} 
","waarom dat gekke filter (weggehaald)? 
Su condifite voor bv 513370",
93,1,1,,object rel_ld,?x :obj ?y,,"?x :rel_ld ?y. ?y :prop ""vnotzeg""
FILTER NOT EXISTS {?z :obj ?y}",,
95,1,1,,mening van obj,?x :obj ?y,?z :obj ?y,"?x :rel_obj1 [:rel_mod ?z].
?z :lexclass ""mening""; 
     :obj ?y",,
100,1,1,,bijzin obj,?plan :obj ?opgesteld,?dat :obj ?opgesteld,"?dat :obj ?opgesteld;
       :rel_mod ?plan;
      :lexclass ""bijzin""",2020743 het plan dat hij heeft opgesteld,
106,1,1,,schoonschip ,,?x :obj ?y,"?x :quote|:quoteobj|:su ?y.
?x :obj ?y","regel volgens hen maakt su aan op een plek waar later obj aangemaakt te worden. Deze afzonderlijke regel efficienter dan elke keer ook :su opnemen in NON EXISTS(  :obj )
Is er ergens een goed voorbeeld zinsnr? 2020743",
110,1,,,alsdan,?x :alsdan ?y,,"?x :rel_body [:lemma ""als""; :rel_mod ?y]
FILTER NOT EXISTS {?z :obj ?y}","?x :rel_obj1 ?z.
?z :lemma ""in samenwerking met""; :rel_mod ?y. 
?y :prop ""lowestv""
FILTER NOT EXISTS {?x :obj ?y)",
111,1,,,a is b,?wat :obj ?cop,?x :su ?wat,"?x :su ?cop.
?cop :lexclass ""copula"".
?wat :rel_vc|:rel_predc ?cop.
FILTER NOT EXISTS {?z  :obj ?cop}","filter toegevoegd om te voorkomen dat in 642791 positief
(uit positief tegenover staan) zelf een object zou worden.",
125,1,1,,eqv1 rel_app,?x :eqv ?y,,?x :rel_app ?y.,"equivalenties 466421, echter nu nog predikcaat gelijk aan subject",
150,1,1,,is voorstander van,"?piet :su ?voorstander.
?plan :obj ?voorstander.","?piet :eqv ?voorstander.
?voorstander :eqv ?piet.","?voorstander :lexclass ""voorstander"".
?piet :eqv|^:eqv ?voorstander.
?plan :rel_obj1/:rel_mod ?voorstander.",,
210,1,,,doelzin,?hogerv :om ?doelww,,"?tenkand :lexclass ""doel"".
?tenkand :rel_mod|(:rel_vc/:rel_obj1)  ?hogerv.
?hogerv :prop  ""lowestv"".
?doelww :rel_body+ ?tenkand;
    :prop ""lowestv"".
OPTIONAL {?actor :su ?hogerv} ",2358032,?x  :obj ?doelww
211,1,1,,doelzin,?hogerv :om ?doelww,,"?tenkand :lexclass ""doel"".
?tenkand :rel+ ?hogerv.
?hogerv :prop  ""lowestv"".
?doelww :rel_body+ ?tenkand;
    :prop ""lowestv"".
OPTIONAL {?actor :su ?hogerv} ",2358032,?x  :obj ?doelww
250,1,,,maatregelen nemen om,?kosten :obj ?nemen,"?maatregel :obj ?nemen.
?nemen :om ?drukken.
?kosten :obj ?drukken.","?maatregel :lexclass ""maatregel"";
    :obj ?nemen.
?nemen :om ?drukken.
?kosten :obj ?drukken.",2358032 jan neemt maatregelen om de kosten te drukken,
300,1,,,Volgens-quote,?hem :quote ?wat,,"?hem :rel_obj1 [:lexclass ""volgens"";
                          :rel_mod ?wat]",weet niet zeker of deze en twee navolgende hetzelfde probeerden uit te drukken,
310,1,,,Volgens-quote,?hem :quote ?wat,,"?hem :rel_obj1 ?volg.
?volg :lexclass ""volgens""; :rel_tag ?wat ",gaat bv goed in 670752,
320,1,,,Volgens-quote,?hem :quote ?wat,?hem :su ?wat,"?hem :rel_obj1  ?vg.
?vg :lexclass ""volgens"";  :rel_mod ?wat",656349 weet niet of voorgaande regel ook dit of net iets anders wilde zeggen,
330,1,,,Zeker-dat-quote,?bron :quote ?body,"?dat :su ?cop.
?zeker :obj ?cop.
?bron :quote ?cop","?cop :lexclass ""copula"";
        ^:quote ?bron;
        ^:su ?dat;
        ^:obj ?zeker.
?body :rel_body ?dat.
?zeker :lexclass ""zeker""",,
331,1,1,,Quote-conjunctie,?piet :quote ?schiet,,"?piet :quote ?eet.
?eet :rel_cnj ?en.
?schiet :rel_cnj ?en.",volgens piet een en schiet de panda,
332,1,1,1,a omschrijft b als een x,"?piet :quote ?omschrijft.
?jan :eqv ?paard","?piet :su ?omschrijft.
?jan :obj ?omschrijft.","?piet :su ?omschrijft.
?jan :obj ?omschrijft.
?paard :rel_body ?als.
?als :rel_predc ?omschrijft.
?als :lemma “als”.
?omschrijft :lexclass “omschrijven”","piet omschrijft jan  als een paard.
(source staat niet goed in triples, maar voor nu niet erg)",
332,1,1,1,a noemt b een x,"?piet :quote ?noemt.
?jan :eqv ?paard","?piet :su ?noemt.
?jan :obj ?noemt.","?piet :su ?noemt.
?jan :obj ?noemt.
?paard :rel_predc ?noemt.
?noemt :lexclass “noem”",piet noemt jan een paard.,
